file,class,method,variable,usage
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\java-design-patterns\leader-election\src\main\java\com\iluwatar\leaderelection\ring\RingMessageManager.java,com.iluwatar.leaderelection.ring.RingMessageManager,"sendLeaderMessage/2[int,int]",leaderId,1
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\java-design-patterns\leader-election\src\main\java\com\iluwatar\leaderelection\ring\RingMessageManager.java,com.iluwatar.leaderelection.ring.RingMessageManager,sendHeartbeatInvokeMessage/1[int],currentId,1
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\java-design-patterns\leader-election\src\main\java\com\iluwatar\leaderelection\ring\RingMessageManager.java,com.iluwatar.leaderelection.ring.RingMessageManager,sendHeartbeatInvokeMessage/1[int],nextInstance,1
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\java-design-patterns\leader-election\src\main\java\com\iluwatar\leaderelection\ring\RingMessageManager.java,com.iluwatar.leaderelection.ring.RingMessageManager,sendHeartbeatInvokeMessage/1[int],heartbeatInvokeMessage,1
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\java-design-patterns\type-object\src\main\java\com\iluwatar\typeobject\Candy.java,com.iluwatar.typeobject.Candy,"Candy/4[java.lang.String,java.lang.String,com.iluwatar.typeobject.Candy.Type,int]",parentName,2
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\java-design-patterns\type-object\src\main\java\com\iluwatar\typeobject\Candy.java,com.iluwatar.typeobject.Candy,"Candy/4[java.lang.String,java.lang.String,com.iluwatar.typeobject.Candy.Type,int]",name,2
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\java-design-patterns\type-object\src\main\java\com\iluwatar\typeobject\Candy.java,com.iluwatar.typeobject.Candy,"Candy/4[java.lang.String,java.lang.String,com.iluwatar.typeobject.Candy.Type,int]",type,2
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\java-design-patterns\type-object\src\main\java\com\iluwatar\typeobject\Candy.java,com.iluwatar.typeobject.Candy,"Candy/4[java.lang.String,java.lang.String,com.iluwatar.typeobject.Candy.Type,int]",points,2
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\java-design-patterns\transaction-script\src\test\java\com\iluwatar\transactionscript\RoomTest.java,com.iluwatar.transactionscript.RoomTest,getAndSetRoomType/0,newRoomType,2
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\java-design-patterns\transaction-script\src\test\java\com\iluwatar\transactionscript\RoomTest.java,com.iluwatar.transactionscript.RoomTest,equalsWithSameObjectValues/0,otherRoom,2
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\java-design-patterns\transaction-script\src\test\java\com\iluwatar\transactionscript\RoomTest.java,com.iluwatar.transactionscript.RoomTest,getAndSetId/0,newId,2
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\java-design-patterns\transaction-script\src\test\java\com\iluwatar\transactionscript\RoomTest.java,com.iluwatar.transactionscript.RoomTest,notEqualWithDifferentId/0,newId,1
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\java-design-patterns\transaction-script\src\test\java\com\iluwatar\transactionscript\RoomTest.java,com.iluwatar.transactionscript.RoomTest,notEqualWithDifferentId/0,otherRoom,2
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\java-design-patterns\transaction-script\src\test\java\com\iluwatar\transactionscript\RoomTest.java,com.iluwatar.transactionscript.RoomTest,getAndSetLastName/0,newPrice,2
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\java-design-patterns\execute-around\src\main\java\com\iluwatar\execute\around\FileWriterAction.java,com.iluwatar.execute.around.FileWriterAction,writeFile/1[java.io.FileWriter],writer,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\java-design-patterns\fanout-fanin\src\test\java\com\iluwatar\fanout\fanin\FanOutFanInTest.java,com.iluwatar.fanout.fanin.FanOutFanInTest,fanOutFanInTest/0,sumOfSquaredNumbers,1
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\java-design-patterns\fanout-fanin\src\test\java\com\iluwatar\fanout\fanin\FanOutFanInTest.java,com.iluwatar.fanout.fanin.FanOutFanInTest,fanOutFanInTest/0,numbers,1
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\java-design-patterns\fanout-fanin\src\test\java\com\iluwatar\fanout\fanin\FanOutFanInTest.java,com.iluwatar.fanout.fanin.FanOutFanInTest,fanOutFanInTest/0,requests,1
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\java-design-patterns\fanout-fanin\src\test\java\com\iluwatar\fanout\fanin\FanOutFanInTest.java,com.iluwatar.fanout.fanin.FanOutFanInTest,fanOutFanInTest/0,consumer,1
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\java-design-patterns\leader-followers\src\main\java\com\iluwatar\leaderfollowers\TaskHandler.java,com.iluwatar.leaderfollowers.TaskHandler,handleTask/1[com.iluwatar.leaderfollowers.Task],task,2
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\java-design-patterns\leader-followers\src\main\java\com\iluwatar\leaderfollowers\TaskHandler.java,com.iluwatar.leaderfollowers.TaskHandler,handleTask/1[com.iluwatar.leaderfollowers.Task],time,2
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\java-design-patterns\monitor\src\test\java\com\iluwatar\monitor\MainTest.java,com.iluwatar.monitor.MainTest,runnerShouldExecuteWithoutException/0,bank,1
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\java-design-patterns\monitor\src\test\java\com\iluwatar\monitor\MainTest.java,com.iluwatar.monitor.MainTest,runnerShouldExecuteWithoutException/0,latch,2
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\java-design-patterns\page-object\test-automation\src\main\java\com\iluwatar\pageobject\AlbumPage.java,com.iluwatar.pageobject.AlbumPage,changeAlbumYear/1[int],year,1
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\java-design-patterns\page-object\test-automation\src\main\java\com\iluwatar\pageobject\AlbumPage.java,com.iluwatar.pageobject.AlbumPage,changeAlbumYear/1[int],yearOption,1
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\java-design-patterns\page-object\test-automation\src\main\java\com\iluwatar\pageobject\AlbumPage.java,com.iluwatar.pageobject.AlbumPage,changeAlbumYear/1[int],albumYearSelectOption,2
