name,owner,createdAt,updatedAt,stargazers,releases,cbo_mean,cbo_median,cbo_std,dit_mean,dit_median,dit_std,lcom_mean,lcom_median,lcom_std,loc_total
easyexcel,alibaba,2018-02-06T03:14:08Z,2025-03-15T18:37:30Z,33199,14,6.632142857142857,5.0,6.092932858676716,1.375,1.0,0.8344655397500914,32.025,1.0,355.6684644707216,20545
zxing,zxing,2011-10-12T14:07:27Z,2025-03-15T14:00:11Z,33155,31,4.983193277310924,4.0,4.806321583035277,1.66218487394958,2.0,0.7731817594228113,22.96302521008404,0.0,130.8602795808474,39975
selenium,SeleniumHQ,2013-01-14T21:40:56Z,2025-03-15T19:24:25Z,31824,102,5.868843683083512,4.0,7.186656187485736,1.3811563169164882,1.0,1.066261258020958,32.434154175588866,1.0,279.25953520454834,87569
nacos,alibaba,2018-06-15T06:49:27Z,2025-03-15T10:29:16Z,30990,77,5.518009168303864,3.0,6.376353237379714,1.2874918140144074,1.0,0.7017787020429866,25.694826457105435,0.0,354.9285039293113,143241
spring-boot-examples,ityouknow,2016-11-05T05:32:33Z,2025-03-15T13:37:46Z,30400,0,4.726384364820847,4.0,3.1044014119135257,1.026058631921824,1.0,0.1595697948450159,5.03257328990228,0.0,16.34949922951424,4461
kafka,apache,2011-08-15T18:06:16Z,2025-03-15T19:09:47Z,29656,0,7.549640287769784,4.0,13.186643633718331,1.4239808153477218,1.0,1.0771200178760325,55.86486810551559,0.0,851.4262061784012,645258
hutool,chinabugotech,2014-04-13T07:23:51Z,2025-03-15T15:21:45Z,29611,149,3.5953322784810124,3.0,3.9237400550170967,1.2800632911392404,1.0,0.7373025387089307,104.05854430379746,0.0,969.6862614889292,124855
apollo,apolloconfig,2016-03-04T10:24:23Z,2025-03-15T15:02:13Z,29376,41,7.275103163686382,6.0,6.776537403686159,1.2682255845942227,1.0,0.7087567306992326,14.78541953232462,0.0,53.12699227114486,32879
canal,alibaba,2013-01-13T10:59:52Z,2025-03-15T15:02:24Z,28883,32,5.815839694656488,4.0,6.451601983822254,1.3797709923664123,1.0,0.822818754065667,77.42175572519083,1.0,467.6311552985879,112491
SpringAll,wuyouzhuguli,2018-05-02T02:48:44Z,2025-03-15T14:34:58Z,28657,0,5.243386243386244,4.0,4.277387482489049,1.1111111111111112,1.0,0.3690022871024327,3.748677248677249,0.0,11.858037860715635,6031
xxl-job,xuxueli,2015-11-28T12:59:34Z,2025-03-15T16:57:20Z,28444,36,4.674698795180723,3.0,5.172440801799451,1.1325301204819278,1.0,0.3899054846575584,20.59036144578313,0.0,98.8130203841799,8715
druid,alibaba,2011-11-03T05:12:51Z,2025-03-15T15:02:48Z,28089,51,5.092826274848747,4.0,12.97841830433524,1.942610198789974,2.0,0.8254411815450614,231.4203975799481,0.0,5170.864841807523,336341
vhr,lenve,2018-01-04T08:57:51Z,2025-03-15T15:01:27Z,27653,0,4.4361702127659575,2.0,5.843033735957142,1.0212765957446808,1.0,0.1450786515834624,48.32978723404256,6.0,225.79495829004148,2971
JCSprout,crossoverJie,2017-12-17T09:06:50Z,2025-03-15T15:43:25Z,27100,0,1.962962962962963,1.0,1.8579655235817751,1.0925925925925926,1.0,0.366374813266034,1.7654320987654322,0.0,6.358388805131687,4399
miaosha,qiurunze123,2018-09-14T04:36:24Z,2025-03-15T15:43:30Z,26277,0,4.146853146853147,3.0,4.539816893993634,1.1258741258741258,1.0,0.3905395793610164,14.3006993006993,0.0,85.54371284043512,8581
WxJava,binarywang,2016-01-06T08:24:05Z,2025-03-15T16:35:52Z,30723,30,5.422285597881443,4.0,6.403913361993549,1.206151965777144,1.0,0.4360894914422483,20.68547565695661,0.0,220.6133575738694,108784
ruoyi-vue-pro,YunaiV,2021-01-24T03:18:25Z,2025-03-15T17:13:05Z,29643,34,7.809272626318711,6.0,7.292514989117536,1.2287617990005553,1.0,0.4445043099222293,16.085230427540257,0.0,515.9449350620287,85232
spring-cloud-alibaba,alibaba,2017-12-01T20:49:15Z,2025-03-15T17:08:54Z,28303,47,4.089285714285714,3.5,3.703937883409473,1.0535714285714286,1.0,0.4008918628686362,3.803571428571429,0.0,10.089453797013883,787
Telegram,DrKLO,2013-10-25T14:08:10Z,2025-03-15T16:13:46Z,25900,95,6.836644591611479,4.0,13.599095121564252,1.6684799747713654,1.0,16.52112717605922,58.453090507726266,0.0,968.1368104707444,1502370
butterknife,JakeWharton,2013-03-05T08:18:59Z,2025-03-15T15:19:09Z,25532,0,3.959558823529412,2.0,6.413936379357521,1.2352941176470589,1.0,0.7108572250152739,10.481617647058824,0.0,75.80646138055415,7712
toBeTopJavaer,hollischuang,2018-10-25T09:54:54Z,2025-03-15T14:01:32Z,25420,0,,,,,,,,,,0
